ts,mode,leg_id,vehicle_type,fuel_type,fuel_price_vnd_per_liter,fuel_cost_factor,rate_vnd_per_ton_km,fixed_fee_vnd,demand_idx,rate_type
2026-10-15T00:00:00+07:00,road,LEG_VT_HCM_ROAD,truck_5t,diesel_005s,21745.000000,1.000000,1919.732558,303264.000000,1.052979,spot
2026-10-15T00:00:00+07:00,road,LEG_VT_HCM_ROAD,truck_5t,diesel_005s,21745.000000,1.000000,1624.787421,272937.600000,1.052979,contract
2026-10-15T00:00:00+07:00,road,LEG_VT_HCM_ROAD,truck_15t,diesel_005s,21745.000000,1.000000,1250.773718,501552.000000,1.052979,spot
2026-10-15T00:00:00+07:00,road,LEG_VT_HCM_ROAD,truck_15t,diesel_005s,21745.000000,1.000000,1184.353175,451396.800000,1.052979,contract
2026-10-15T00:00:00+07:00,road,LEG_VT_HCM_ROAD,reefer_8t,diesel_005s,21745.000000,1.000000,2709.891952,793152.000000,1.052979,spot
2026-10-15T00:00:00+07:00,road,LEG_VT_HCM_ROAD,reefer_8t,diesel_005s,21745.000000,1.000000,2109.170455,713836.800000,1.052979,contract
2026-10-15T00:00:00+07:00,road,LEG_LX_HCM_ROAD,truck_5t,diesel_005s,21745.000000,1.000000,1997.888764,297648.000000,1.052979,spot
2026-10-15T00:00:00+07:00,road,LEG_LX_HCM_ROAD,truck_5t,diesel_005s,21745.000000,1.000000,1630.144600,267883.200000,1.052979,contract
2026-10-15T00:00:00+07:00,road,LEG_LX_HCM_ROAD,truck_15t,diesel_005s,21745.000000,1.000000,953.229645,492264.000000,1.052979,spot
2026-10-15T00:00:00+07:00,road,LEG_LX_HCM_ROAD,truck_15t,diesel_005s,21745.000000,1.000000,1141.063241,443037.600000,1.052979,contract
2026-10-15T00:00:00+07:00,road,LEG_LX_HCM_ROAD,reefer_8t,diesel_005s,21745.000000,1.000000,1985.457294,778464.000000,1.052979,spot
2026-10-15T00:00:00+07:00,road,LEG_LX_HCM_ROAD,reefer_8t,diesel_005s,21745.000000,1.000000,2175.134409,700617.600000,1.052979,contract
2026-10-15T00:00:00+07:00,road,LEG_ST_HCM_ROAD,truck_5t,diesel_005s,21745.000000,1.000000,1784.782268,303264.000000,1.052979,spot
2026-10-15T00:00:00+07:00,road,LEG_ST_HCM_ROAD,truck_5t,diesel_005s,21745.000000,1.000000,1660.649069,272937.600000,1.052979,contract
2026-10-15T00:00:00+07:00,road,LEG_ST_HCM_ROAD,truck_15t,diesel_005s,21745.000000,1.000000,1303.678448,501552.000000,1.052979,spot
2026-10-15T00:00:00+07:00,road,LEG_ST_HCM_ROAD,truck_15t,diesel_005s,21745.000000,1.000000,1141.600281,451396.800000,1.052979,contract
