note_id,created_at,hub_id,vehicle_id,note_type,constraint_code,is_blocking,valid_until,note_text,evidence_ref,source_type
NOTE_INTAKE_20250101_HUB_LONGXUYEN,2025-01-01T23:00:00+07:00,HUB_LONGXUYEN,,daily_intake,DEADLINE_PRESSURE,False,2025-01-02T23:00:00+07:00,"Ngày 2025-01-01, HUB_LONGXUYEN tiếp nhận 5 đơn, tổng 44.4 tấn; 33.4 tấn tương thích đường thủy; 2 đơn priority 4–5. Đây là ghi chú quan sát, không phải route recommendation.",orders:2025-01-01:HUB_LONGXUYEN,simulated
NOTE_INTAKE_20250101_HUB_SOCTRANG,2025-01-01T23:00:00+07:00,HUB_SOCTRANG,,daily_intake,DEADLINE_PRESSURE,False,2025-01-02T23:00:00+07:00,"Ngày 2025-01-01, HUB_SOCTRANG tiếp nhận 6 đơn, tổng 27.0 tấn; 10.3 tấn tương thích đường thủy; 5 đơn priority 4–5. Đây là ghi chú quan sát, không phải route recommendation.",orders:2025-01-01:HUB_SOCTRANG,simulated
NOTE_INTAKE_20250101_HUB_VINHLONG,2025-01-01T23:00:00+07:00,HUB_VINHLONG,,daily_intake,NONE,False,2025-01-02T23:00:00+07:00,"Ngày 2025-01-01, HUB_VINHLONG tiếp nhận 5 đơn, tổng 38.4 tấn; 38.4 tấn tương thích đường thủy; 0 đơn priority 4–5. Đây là ghi chú quan sát, không phải route recommendation.",orders:2025-01-01:HUB_VINHLONG,simulated
NOTE_INTAKE_20250101_HUB_VITHANH,2025-01-01T23:00:00+07:00,HUB_VITHANH,,daily_intake,NONE,False,2025-01-02T23:00:00+07:00,"Ngày 2025-01-01, HUB_VITHANH tiếp nhận 9 đơn, tổng 91.2 tấn; 91.2 tấn tương thích đường thủy; 0 đơn priority 4–5. Đây là ghi chú quan sát, không phải route recommendation.",orders:2025-01-01:HUB_VITHANH,simulated
NOTE_INTAKE_20250102_HUB_LONGXUYEN,2025-01-02T23:00:00+07:00,HUB_LONGXUYEN,,daily_intake,DEADLINE_PRESSURE,False,2025-01-03T23:00:00+07:00,"Ngày 2025-01-02, HUB_LONGXUYEN tiếp nhận 13 đơn, tổng 129.3 tấn; 119.0 tấn tương thích đường thủy; 3 đơn priority 4–5. Đây là ghi chú quan sát, không phải route recommendation.",orders:2025-01-02:HUB_LONGXUYEN,simulated
NOTE_INTAKE_20250102_HUB_SOCTRANG,2025-01-02T23:00:00+07:00,HUB_SOCTRANG,,daily_intake,DEADLINE_PRESSURE,False,2025-01-03T23:00:00+07:00,"Ngày 2025-01-02, HUB_SOCTRANG tiếp nhận 4 đơn, tổng 17.8 tấn; 9.8 tấn tương thích đường thủy; 2 đơn priority 4–5. Đây là ghi chú quan sát, không phải route recommendation.",orders:2025-01-02:HUB_SOCTRANG,simulated
NOTE_INTAKE_20250102_HUB_VINHLONG,2025-01-02T23:00:00+07:00,HUB_VINHLONG,,daily_intake,DEADLINE_PRESSURE,False,2025-01-03T23:00:00+07:00,"Ngày 2025-01-02, HUB_VINHLONG tiếp nhận 6 đơn, tổng 31.9 tấn; 29.0 tấn tương thích đường thủy; 1 đơn priority 4–5. Đây là ghi chú quan sát, không phải route recommendation.",orders:2025-01-02:HUB_VINHLONG,simulated
NOTE_INTAKE_20250102_HUB_VITHANH,2025-01-02T23:00:00+07:00,HUB_VITHANH,,daily_intake,DEADLINE_PRESSURE,False,2025-01-03T23:00:00+07:00,"Ngày 2025-01-02, HUB_VITHANH tiếp nhận 6 đơn, tổng 56.1 tấn; 39.4 tấn tương thích đường thủy; 3 đơn priority 4–5. Đây là ghi chú quan sát, không phải route recommendation.",orders:2025-01-02:HUB_VITHANH,simulated
NOTE_INTAKE_20250103_HUB_LONGXUYEN,2025-01-03T23:00:00+07:00,HUB_LONGXUYEN,,daily_intake,DEADLINE_PRESSURE,False,2025-01-04T23:00:00+07:00,"Ngày 2025-01-03, HUB_LONGXUYEN tiếp nhận 7 đơn, tổng 35.9 tấn; 27.4 tấn tương thích đường thủy; 3 đơn priority 4–5. Đây là ghi chú quan sát, không phải route recommendation.",orders:2025-01-03:HUB_LONGXUYEN,simulated
NOTE_INTAKE_20250103_HUB_SOCTRANG,2025-01-03T23:00:00+07:00,HUB_SOCTRANG,,daily_intake,DEADLINE_PRESSURE,False,2025-01-04T23:00:00+07:00,"Ngày 2025-01-03, HUB_SOCTRANG tiếp nhận 11 đơn, tổng 53.5 tấn; 39.2 tấn tương thích đường thủy; 5 đơn priority 4–5. Đây là ghi chú quan sát, không phải route recommendation.",orders:2025-01-03:HUB_SOCTRANG,simulated
NOTE_INTAKE_20250103_HUB_VINHLONG,2025-01-03T23:00:00+07:00,HUB_VINHLONG,,daily_intake,DEADLINE_PRESSURE,False,2025-01-04T23:00:00+07:00,"Ngày 2025-01-03, HUB_VINHLONG tiếp nhận 12 đơn, tổng 78.2 tấn; 70.3 tấn tương thích đường thủy; 2 đơn priority 4–5. Đây là ghi chú quan sát, không phải route recommendation.",orders:2025-01-03:HUB_VINHLONG,simulated
NOTE_INTAKE_20250103_HUB_VITHANH,2025-01-03T23:00:00+07:00,HUB_VITHANH,,daily_intake,NONE,False,2025-01-04T23:00:00+07:00,"Ngày 2025-01-03, HUB_VITHANH tiếp nhận 7 đơn, tổng 85.8 tấn; 85.8 tấn tương thích đường thủy; 0 đơn priority 4–5. Đây là ghi chú quan sát, không phải route recommendation.",orders:2025-01-03:HUB_VITHANH,simulated
NOTE_INTAKE_20250104_HUB_LONGXUYEN,2025-01-04T23:00:00+07:00,HUB_LONGXUYEN,,daily_intake,DEADLINE_PRESSURE,False,2025-01-05T23:00:00+07:00,"Ngày 2025-01-04, HUB_LONGXUYEN tiếp nhận 6 đơn, tổng 46.6 tấn; 35.4 tấn tương thích đường thủy; 3 đơn priority 4–5. Đây là ghi chú quan sát, không phải route recommendation.",orders:2025-01-04:HUB_LONGXUYEN,simulated
NOTE_INTAKE_20250104_HUB_SOCTRANG,2025-01-04T23:00:00+07:00,HUB_SOCTRANG,,daily_intake,DEADLINE_PRESSURE,False,2025-01-05T23:00:00+07:00,"Ngày 2025-01-04, HUB_SOCTRANG tiếp nhận 2 đơn, tổng 11.7 tấn; 8.8 tấn tương thích đường thủy; 1 đơn priority 4–5. Đây là ghi chú quan sát, không phải route recommendation.",orders:2025-01-04:HUB_SOCTRANG,simulated
NOTE_INTAKE_20250104_HUB_VINHLONG,2025-01-04T23:00:00+07:00,HUB_VINHLONG,,daily_intake,DEADLINE_PRESSURE,False,2025-01-05T23:00:00+07:00,"Ngày 2025-01-04, HUB_VINHLONG tiếp nhận 10 đơn, tổng 47.2 tấn; 34.6 tấn tương thích đường thủy; 5 đơn priority 4–5. Đây là ghi chú quan sát, không phải route recommendation.",orders:2025-01-04:HUB_VINHLONG,simulated
NOTE_INTAKE_20250104_HUB_VITHANH,2025-01-04T23:00:00+07:00,HUB_VITHANH,,daily_intake,NONE,False,2025-01-05T23:00:00+07:00,"Ngày 2025-01-04, HUB_VITHANH tiếp nhận 0 đơn, tổng 0.0 tấn; 0.0 tấn tương thích đường thủy; 0 đơn priority 4–5. Đây là ghi chú quan sát, không phải route recommendation.",orders:2025-01-04:HUB_VITHANH,simulated
NOTE_INTAKE_20250105_HUB_LONGXUYEN,2025-01-05T23:00:00+07:00,HUB_LONGXUYEN,,daily_intake,DEADLINE_PRESSURE,False,2025-01-06T23:00:00+07:00,"Ngày 2025-01-05, HUB_LONGXUYEN tiếp nhận 8 đơn, tổng 43.2 tấn; 32.5 tấn tương thích đường thủy; 4 đơn priority 4–5. Đây là ghi chú quan sát, không phải route recommendation.",orders:2025-01-05:HUB_LONGXUYEN,simulated
NOTE_INTAKE_20250105_HUB_SOCTRANG,2025-01-05T23:00:00+07:00,HUB_SOCTRANG,,daily_intake,DEADLINE_PRESSURE,False,2025-01-06T23:00:00+07:00,"Ngày 2025-01-05, HUB_SOCTRANG tiếp nhận 7 đơn, tổng 39.0 tấn; 29.2 tấn tương thích đường thủy; 3 đơn priority 4–5. Đây là ghi chú quan sát, không phải route recommendation.",orders:2025-01-05:HUB_SOCTRANG,simulated
NOTE_INTAKE_20250105_HUB_VINHLONG,2025-01-05T23:00:00+07:00,HUB_VINHLONG,,daily_intake,DEADLINE_PRESSURE,False,2025-01-06T23:00:00+07:00,"Ngày 2025-01-05, HUB_VINHLONG tiếp nhận 5 đơn, tổng 29.0 tấn; 26.8 tấn tương thích đường thủy; 1 đơn priority 4–5. Đây là ghi chú quan sát, không phải route recommendation.",orders:2025-01-05:HUB_VINHLONG,simulated
