ts,mode,leg_id,vehicle_type,fuel_type,fuel_price_vnd_per_liter,fuel_cost_factor,rate_vnd_per_ton_km,fixed_fee_vnd,demand_idx,rate_type
2026-10-15T00:00:00+07:00,road,LEG_VT_HCM_ROAD,truck_5t,diesel_005s,22832.250000,1.019000,1867.906445,294840.000000,1.034176,spot
2026-10-15T00:00:00+07:00,road,LEG_VT_HCM_ROAD,truck_5t,diesel_005s,22832.250000,1.019000,1580.923802,265356.000000,1.034176,contract
2026-10-15T00:00:00+07:00,road,LEG_VT_HCM_ROAD,truck_15t,diesel_005s,22832.250000,1.019000,1217.007171,487620.000000,1.034176,spot
2026-10-15T00:00:00+07:00,road,LEG_VT_HCM_ROAD,truck_15t,diesel_005s,22832.250000,1.019000,1152.379752,438858.000000,1.034176,contract
2026-10-15T00:00:00+07:00,road,LEG_VT_HCM_ROAD,reefer_8t,diesel_005s,22832.250000,1.019000,2636.734279,771120.000000,1.034176,spot
2026-10-15T00:00:00+07:00,road,LEG_VT_HCM_ROAD,reefer_8t,diesel_005s,22832.250000,1.019000,2052.230176,694008.000000,1.034176,contract
2026-10-15T00:00:00+07:00,road,LEG_LX_HCM_ROAD,truck_5t,diesel_005s,22832.250000,1.019000,1943.952705,289380.000000,1.034176,spot
2026-10-15T00:00:00+07:00,road,LEG_LX_HCM_ROAD,truck_5t,diesel_005s,22832.250000,1.019000,1586.136356,260442.000000,1.034176,contract
2026-10-15T00:00:00+07:00,road,LEG_LX_HCM_ROAD,truck_15t,diesel_005s,22832.250000,1.019000,927.495755,478590.000000,1.034176,spot
2026-10-15T00:00:00+07:00,road,LEG_LX_HCM_ROAD,truck_15t,diesel_005s,22832.250000,1.019000,1110.258496,430731.000000,1.034176,contract
2026-10-15T00:00:00+07:00,road,LEG_LX_HCM_ROAD,reefer_8t,diesel_005s,22832.250000,1.019000,1931.856841,756840.000000,1.034176,spot
2026-10-15T00:00:00+07:00,road,LEG_LX_HCM_ROAD,reefer_8t,diesel_005s,22832.250000,1.019000,2116.413333,681156.000000,1.034176,contract
2026-10-15T00:00:00+07:00,road,LEG_ST_HCM_ROAD,truck_5t,diesel_005s,22832.250000,1.019000,1736.599344,294840.000000,1.034176,spot
2026-10-15T00:00:00+07:00,road,LEG_ST_HCM_ROAD,truck_5t,diesel_005s,22832.250000,1.019000,1615.817310,265356.000000,1.034176,contract
2026-10-15T00:00:00+07:00,road,LEG_ST_HCM_ROAD,truck_15t,diesel_005s,22832.250000,1.019000,1268.483657,487620.000000,1.034176,spot
2026-10-15T00:00:00+07:00,road,LEG_ST_HCM_ROAD,truck_15t,diesel_005s,22832.250000,1.019000,1110.781037,438858.000000,1.034176,contract
2026-10-15T00:00:00+07:00,road,LEG_ST_HCM_ROAD,reefer_8t,diesel_005s,22832.250000,1.019000,2403.518642,771120.000000,1.034176,spot
2026-10-15T00:00:00+07:00,road,LEG_ST_HCM_ROAD,reefer_8t,diesel_005s,22832.250000,1.019000,2105.955585,694008.000000,1.034176,contract
2026-10-15T00:00:00+07:00,road,LEG_VL_HCM_ROAD,truck_5t,diesel_005s,22832.250000,1.019000,1685.015094,262080.000000,1.034176,spot
2026-10-15T00:00:00+07:00,road,LEG_VL_HCM_ROAD,truck_5t,diesel_005s,22832.250000,1.019000,1376.503147,235872.000000,1.034176,contract
2026-10-15T00:00:00+07:00,road,LEG_VL_HCM_ROAD,truck_15t,diesel_005s,22832.250000,1.019000,1130.670166,433440.000000,1.034176,spot
2026-10-15T00:00:00+07:00,road,LEG_VL_HCM_ROAD,truck_15t,diesel_005s,22832.250000,1.019000,1010.295215,390096.000000,1.034176,contract
2026-10-15T00:00:00+07:00,road,LEG_VL_HCM_ROAD,reefer_8t,diesel_005s,22832.250000,1.019000,2028.550536,685440.000000,1.034176,spot
2026-10-15T00:00:00+07:00,road,LEG_VL_HCM_ROAD,reefer_8t,diesel_005s,22832.250000,1.019000,1843.484582,616896.000000,1.034176,contract
