vehicle_id,vehicle_type,mode,capacity_ton,current_node_id,status,available_from_ts,cost_fixed_vnd,cost_per_km_vnd,speed_kmh,has_reefer,owner_hub_id
VEH_TRK5_001,truck_5t,road,5.000000,HUB_VITHANH,maintenance,2026-01-02T01:14:06+07:00,250000.000000,12000.000000,45.000000,False,HUB_VITHANH
VEH_TRK5_002,truck_5t,road,5.000000,HUB_VITHANH,maintenance,2026-01-02T14:07:26+07:00,250000.000000,12000.000000,45.000000,False,HUB_VITHANH
VEH_TRK5_003,truck_5t,road,5.000000,HUB_VITHANH,en_route,2026-01-01T16:26:39+07:00,250000.000000,12000.000000,45.000000,False,HUB_VITHANH
VEH_TRK5_004,truck_5t,road,5.000000,HUB_VITHANH,available,2026-01-01T01:49:51+07:00,250000.000000,12000.000000,45.000000,False,HUB_VITHANH
VEH_TRK5_005,truck_5t,road,5.000000,HUB_VITHANH,available,2026-01-01T01:27:54+07:00,250000.000000,12000.000000,45.000000,False,HUB_VITHANH
VEH_TRK5_006,truck_5t,road,5.000000,HUB_LONGXUYEN,reserved,2026-01-01T14:09:20+07:00,250000.000000,12000.000000,45.000000,False,HUB_LONGXUYEN
VEH_TRK5_007,truck_5t,road,5.000000,HUB_LONGXUYEN,available,2026-01-01T01:01:33+07:00,250000.000000,12000.000000,45.000000,False,HUB_LONGXUYEN
VEH_TRK5_008,truck_5t,road,5.000000,HUB_LONGXUYEN,en_route,2026-01-01T11:40:44+07:00,250000.000000,12000.000000,45.000000,False,HUB_LONGXUYEN
VEH_TRK5_009,truck_5t,road,5.000000,HUB_LONGXUYEN,en_route,2026-01-01T12:54:30+07:00,250000.000000,12000.000000,45.000000,False,HUB_LONGXUYEN
VEH_TRK5_010,truck_5t,road,5.000000,HUB_LONGXUYEN,available,2026-01-01T01:08:36+07:00,250000.000000,12000.000000,45.000000,False,HUB_LONGXUYEN
