order_id,hub_id,commodity_id,weight_kg,arrival_ts,ready_ts,deadline_ts,destination_node_id,priority_level,status
ORD_2026_000001,HUB_VINHLONG,COM_VEGETABLE,3495.704632,2026-01-01T07:16:00+07:00,2026-01-01T09:58:52+07:00,2026-01-01T23:27:12+07:00,HCM_MARKET,4,new
ORD_2026_000002,HUB_SOCTRANG,COM_PURPLE_ONION,4596.107354,2026-01-01T07:40:00+07:00,2026-01-01T11:40:00+07:00,2026-01-03T07:50:21+07:00,HCM_MARKET,2,new
ORD_2026_000003,HUB_SOCTRANG,COM_PURPLE_ONION,4053.554991,2026-01-01T08:03:00+07:00,2026-01-01T08:09:09+07:00,2026-01-03T15:57:48+07:00,HCM_MARKET,2,ready
ORD_2026_000004,HUB_VITHANH,COM_RICE,8960.352596,2026-01-01T08:15:00+07:00,2026-01-01T08:45:00+07:00,2026-01-04T11:40:23+07:00,HCM_MARKET,1,ready
ORD_2026_000005,HUB_VINHLONG,COM_VEGETABLE,4704.908006,2026-01-01T08:33:00+07:00,2026-01-01T08:54:56+07:00,2026-01-02T05:50:37+07:00,HCM_MARKET,4,new
ORD_2026_000006,HUB_VITHANH,COM_SUGARCANE,10844.928380,2026-01-01T09:43:00+07:00,2026-01-01T12:15:38+07:00,2026-01-03T10:45:10+07:00,HCM_MARKET,2,ready
ORD_2026_000007,HUB_LONGXUYEN,COM_RICE,25607.980488,2026-01-01T09:44:00+07:00,2026-01-01T10:05:41+07:00,2026-01-05T21:30:39+07:00,HCM_MARKET,1,new
ORD_2026_000008,HUB_SOCTRANG,COM_SHRIMP,2490.866732,2026-01-01T16:07:00+07:00,2026-01-01T18:11:33+07:00,2026-01-02T01:26:52+07:00,HCM_MARKET,5,new
ORD_2026_000009,HUB_VINHLONG,COM_SWEET_POTATO,6702.775688,2026-01-01T19:55:00+07:00,2026-01-01T21:04:28+07:00,2026-01-04T06:25:48+07:00,HCM_MARKET,2,new
ORD_2026_000010,HUB_SOCTRANG,COM_SHRIMP,2843.185407,2026-01-01T20:00:00+07:00,2026-01-01T20:56:16+07:00,2026-01-02T07:22:07+07:00,HCM_MARKET,5,ready
